Class Name,Description Text,Source
AWS Security Essentials,"This course will prepare the prospective student to be more security minded with their architecture in AWS.  In addition, you will find that the subjects and materials covered within this course will also equip the student with the knowledge and hands-on experience with various AWS services dealing with encryption, monitoring, and auditing.",Linux Academy
Implementing a Full CI/CD Pipeline,"The CI/CD Pipeline has become an integral part of DevOps culture. There are a variety of tools and techniques for implementing such a pipeline. This course will provide you with a hands-on experience of building out a CI/CD pipeline from start to finish. It begins with source control management and ends with a a fully-orchestrated pipeline using Jenkins and Kubernetes, complete with self-healing, autoscaling, and canary testing functionality.",Linux Academy
Kubernetes the Hard Way,"Kubernetes is a powerful tool for container orchestration. There are many different ways to bootstrap a Kubernetes cluster, many of which make the process easier by abstracting some of the details. Kelsey Hightower's open source guide, Kubernetes the Hard Way, goes through how to bootstrap a Kubernetes cluster without the use of installers or scripts. While there is nothing wrong with using installers or scripts, this approach gives you a deeper understanding of the details of Kubernetes. This course is an adaptation of the Kubernetes the Hard Way guide. It is intended to walk you through it and provide some additional explanation of each step along the way.",Linux Academy
Manage and Deploy Code with AWS Developer Tools,"Designing an application, writing code, solving complex algorithms - that is the easy part. We all know that the true hero is the person who can manage and deploy the code once it has been created. This is where AWS Developer Tools step in and allows you to become the hero every organization needs. AWS CodeCommit, CodeDeploy, and CodePipeline provides all the tools needed to successfully store, manage, and deploy your code to a fleet of servers (or just one) - in either the cloud, on-premise, or both. These services include: CodeCommit: A Git based version control system CodeDeploy: Automate deployments to test, developer & production environments CodePipeline: Create deployment models, and visual deployment workflow So what are you waiting for? Linux Academy will be with you each step-of-the-way, providing the best instructional videos so you can learn and, most importantly, implement what you have learned into real life scenarios.",Linux Academy
Docker Certified Associate Prep Course,"This course will prepare the prospective student to successfully pass the Docker Certified Associate exam. In addition, you will find that the the subjects and materials covered within this course will also equip the successful candidate with the knowledge and experience needed to run Docker clusters and workloads in a complex production environment.",Linux Academy
AWS Certified Security - Specialty Certification,"The AWS Certified Security Specialty is a certification based around securing applications in AWS. It is one one three specialty certifications offered by AWS. The certification focuses on five components or domains when designing and operating security in the cloud. These are: Identity and Access Management, Detective Controls, Infrastructure Protection, Data Protection, Incident Response. This course has been developed to provide you with the requisite knowledge to not only pass the AWS Certified Security Specialty certification exam but also gain the hands-on experience required to become a qualified AWS security specialist working in a real-world environment.",Linux Academy
AWS Certified Big Data - Specialty Course,"Big data technologies are some of the most exciting and in-demand skills. These tools power large companies such as Google and Facebook and it is no wonder AWS is spending more time and resources developing certifications, and new services to catalyze the move to AWS big data solutions. This course will provide you with much of the required knowledge needed to be prepared to take the AWS Big Data Specialty Certification. We will cover the different AWS (and non-AWS!) products and services that appear on the exam. Importantly - we will not cover material you should already have a solid understanding of such as AWS Identity and Access Management, and global infrastructure. For those foundational concepts, definitely review the AWS Certified Developer - Associate Level course here on Linux Academy.",Linux Academy
AWS Certified DevOps Engineer - Professional Level,"This course is designed to provide you with the knowledge and skills required to pass the AWS Certified DevOps Engineer - Professional exam and to successfully apply these skills in the workplace. Please note that AWS is transitioning to a new exam that will be released on February 18, 2109. We will be rapidly updating this course with new material in preparation for the new exam. Any new course material will be labeled as such prior to February 18. We want to get all the lessons into the course that you will need for he new exam. After the lessons are completed, we will take 2 to 3 weeks to produce and publish new labs for the new course material.",Linux Academy
Google Cloud Certified Professional Data Engineer,"The Google Cloud Professional Data Engineer is able to harness the power of Google's big data capabilities and make data-driven decisions by collecting, transforming, and visualizing data. Through designing, building, maintaining, and troubleshooting data processing systems with a particular emphasis on the security, reliability, fault-tolerance, scalability, fidelity, and efficiency of such systems, a Google Cloud data engineer is able to put these systems to work. This course will prepare you for the Google Cloud Professional Data Engineer exam by diving into all of Google Cloud's data services. With interactive demonstrations and an emphasis on hands-on work, you will learn how to master each of Google's big data and machine learning services and become a certified data engineer on Google Cloud.",Linux Academy
Google Certified Professional Cloud Architect - Part 1,"The purpose of this course is twofold: To help a student who is interested in Google Cloud Platform (GCP) but has not had much hands-on experience to become familiar with the platform be comfortable with navigating the console and learn its capabilities. Prepare students for the Google Cloud Architect exam by laying down the foundational principles of familiarity with GCP, from which we will introduce more complex concepts in more advanced courses, culminating in preparing for the Google Cloud Architect certification. Skills that will be covered include: Identify the purpose and value of Google Cloud Platform products and services, Interact with Google Cloud Platform services, Describe ways in which customers have used Google Cloud Platform, Choose among and use application deployment environments on Google Cloud Platform: Google App Engine, Google Container Engine, and Google Compute Engine, Choose among and use Google Cloud Platform storage options: Google Cloud Storage, Google Cloud SQL, Google Cloud Bigtable, and Google Cloud Datastore, Make basic use of BigQuery, Google’s managed data warehouse for analytics",Linux Academy
Google Certified Professional Cloud Architect - Part 2,"The Google Cloud Platform Architect Part 1 course laid down a beginner's level of understanding as a foundation for learning more advanced concepts. In this course, we will take a deeper look at many of GCP's services and start to put many concepts together to mimic most real-life business scenarios. Advanced familiarity with these services will be crucial to prepare for the GCP Architect exam.",Linux Academy
Google Certified Professional Cloud Architect - Part 3,"It is time to focus on the Cloud Architect exam. In this course, we will be filling in the rest of the gaps over what the exam covers, building directly on what we've already learned in the GCP Architect Parts 1 and 2. We will also re-frame previous skills we've learned in the context of using them to solve complicated business and technical problems.",Linux Academy
AWS Certified Solutions Architect - Professional Level,"Amazon Web Services (AWS) is one of the most exciting and in-demand certifications in the current cloud computing market. Being qualified to take the AWS CSA Pro exam requires much more than exam dumps and a few how-to tutorials, it takes training, time and dedication. This in-depth course will provide you with all the required knowledge needed in order to be prepared to take the AWS CSA Pro course. Join thousands of others at the Linux Academy as they prepare to take the AWS CSA Pro exam!",Linux Academy
AWS Certified Advanced Networking - Specialty,"This course has been developed to include everything you will need to pass the AWS Networking - Specialty exam. You are, however, expected to have an AWS Associate-level certification. A background in networking will prove to be very useful but is not necessarily required. In this course, you will build from fundamental networking concepts to deploying your own infrastructure with a heavy focus on networking best practices. You will learn advanced security concepts, as well as how to design highly available, fault-tolerant hybrid infrastructures that allow secure and reliable communication between AWS and your on-premises infrastructure. This course includes lessons, hands-on labs, walkthroughs, notecards, guides, and also interactive quizzes.",Linux Academy
AWS Certified Solutions Architect - Professional 2019,"AWS is one of the fastest growing cloud service platforms offered today. It is used worldwide by millions of users! Being able to achieve the CSA Pro level certification is one of the top achievements for any cloud engineer. With that being understood, it is also one of the most challenging exams offered by any cloud vendor today. You will need to dedicate a numerous amount of hours studying, taking practice exams, and getting hands-on experience within AWS. Luckily, we're here to help you out! This course is designed to guide you through learning the knowledge and services that are required to pass the CSA Professional exam successfully.",Linux Academy
